url,category
https://www.mdc.edu/workforce-programs/,other
https://www.mdc.edu/academics/licensure.aspx,other
https://www.mdc.edu/highschool/default.aspx,other
https://www.mdc.edu/main/sas/,other
https://www.mdc.edu/main/sas/https://sasdreamfactory.org/,other
https://www.mdc.edu/industrycertifications/college-credits.aspx,other
https://www.mdc.edu/academics/programs/competency-based-education.aspx,program_info
https://www.mdc.edu/pla/earn_college_credits/online/,other
https://www.mdc.edu/pla/earn_college_credits/military/,other
https://www.mdc.edu/pla/earn_college_credits/portfolio/,other
https://www.mdc.edu/businessadministration/,other
https://www.mdc.edu/computerinformationtechnology/,other
https://www.mdc.edu/psychology/,other
https://www.mdc.edu/transfer-information/florida2-2/,other
https://www.mdc.edu/transfer-information/,other
https://www.mdc.edu/advisement,student_services
https://www.mdc.edu/mdconnect/,other
https://www.mdc.edu/academics/college-catalog.aspx,other
https://www.mdc.edu/rightsandresponsibilities/,other
https://www.mdc.edu/learningoutcomes/,other
https://www.mdc.edu/internationaleducation/,other
https://www.mdc.edu/credentials/,other
https://www.mdc.edu/academics/calendar/default.aspx,events
https://www.mdc.edu/academics/calendar/registration-calendar.aspx,student_services
https://www.mdc.edu/academics/calendar/holidays.aspx,events
https://www.mdc.edu/main/financialaid/NewsTools/importantdates.aspx,other
https://www.mdc.edu/honorscollege/default.aspx,other
https://www.mdc.edu/honorscollege/about/,about
https://www.mdc.edu/honorscollege/admissions.aspx,admissions
https://www.mdc.edu/honorscollege/scholarship.aspx,financial_aid
https://www.mdc.edu/honorscollege/transfer.aspx,other
https://www.mdc.edu/honorscollege/alumni/default.aspx,other
https://www.mdc.edu/honorscollege/contact.aspx,other
https://www.mdc.edu/honorscollege/information-session.aspx,other
https://www.mdc.edu/honorscollege/about/learn.aspx,about
https://www.mdc.edu/honorscollege/about/support.aspx,about
https://foundation.mdc.edu/g/the-honors-college-2025,other
https://online.mdc.edu/online-programs/,other
https://online.mdc.edu/online-programs/online-bachelors/,other
https://online.mdc.edu/online-programs/online-associates/,other
https://online.mdc.edu/online-programs/online-college-credit-certificates/,other
https://online.mdc.edu/online-programs/continuing-education/,other
https://online.mdc.edu/areas-of-interest/,other
https://online.mdc.edu/areas-of-interest/business/,other
https://online.mdc.edu/areas-of-interest/criminal-justice/,other
https://online.mdc.edu/areas-of-interest/leadership-management-innovation/,about
https://online.mdc.edu/admissions/,admissions
https://online.mdc.edu/admissions/undergraduate-admissions/,admissions
https://online.mdc.edu/admissions/in-state-students/,admissions
https://online.mdc.edu/admissions/international-admissions/,admissions
https://online.mdc.edu/admissions/out-of-state-students/,admissions
https://online.mdc.edu/admissions/military-admissions/,admissions
https://online.mdc.edu/tuition/,financial_aid
https://online.mdc.edu/tuition/tuition-and-costs/,financial_aid
https://online.mdc.edu/tuition/scholarships/,financial_aid
https://online.mdc.edu/tuition/financial-aid/,financial_aid
https://www.mdc.edu/student-financial-services/payment-options/nelnet-payment-plan/,other
https://online.mdc.edu/student-support/,other
https://online.mdc.edu/student-support/online-student-resources/,other
https://online.mdc.edu/student-support/learning-online/,other
https://online.mdc.edu/student-support/new-student-orientation/,other
https://www.mdc.edu/access/,other
https://online.mdc.edu/testing/,student_services
https://online.mdc.edu/student-support/advisement-career-services/,student_services
https://mdcwap.mdc.edu/apply/,admissions
https://online.mdc.edu/student-testimonials/,other
https://online.mdc.edu/faculty/,faculty_staff
https://online.mdc.edu/faculty/faculty-live-help/,faculty_staff
https://online.mdc.edu/faculty/online-faculty-resources/,faculty_staff
https://www.mdc.edu/ciol/,other
https://online.mdc.edu/get-info/,other
https://online.mdc.edu/online-programs/online-bachelors/information-systems-technology/,other
https://online.mdc.edu/online-programs/online-bachelors/public-safety-management/,other
https://online.mdc.edu/ai-enhanced-instruction/,other
https://online.mdc.edu/about-us/,about
https://online.mdc.edu/blog-news/,other
https://online.mdc.edu/how-online-learning-works/,other
https://www.mdc.edu/sustainability/,other
https://mycourses.mdc.edu/,other
http://mdconnect.mdc.edu/,other
http://myoffice.mdc.edu/,other
https://ce.mdc.edu/,other
https://ce.mdc.edu/adult-education/,other
https://www.mdc.edu/alumni/,other
http://collegedirectory.mdc.edu/,other
https://www.mdc.edu/ada/,other
https://www.mdc.edu/highschool/career-pathway-programs/,other
https://www.mdc.edu/highschool/contact/,other
https://www.mdc.edu/dual-enrollment/,other
https://www.mdc.edu/highschool/career-pathway-programs/default.aspx,other
https://www.mdc.edu/dual-enrollment/summer-youth-internship-program/,other
https://www.mdc.edu/presidential-scholars/,other
https://www.mdc.edu/americandream/,other
https://www.mdc.edu/risingscholars/,other
https://www.mdc.edu/fasttracksharks/,other
https://www.mdc.edu/academics/programs/,program_info
https://www.mdc.edu/academics/programs-compare/,program_info
https://nwsa.mdc.edu/dance/,other
https://nwsa.mdc.edu/music/,other
https://nwsa.mdc.edu/theater/,other
https://nwsa.mdc.edu/visual-arts/,other
https://nwsa.mdc.edu/about/,about
https://nwsa.mdc.edu/apply/,admissions
https://nwsa.mdc.edu/highschool/,other
https://nwsa.mdc.edu/college/,other
https://nwsa.mdc.edu/donate/,other
https://nwsa.mdc.edu/contact/,other
https://news.mdc.edu/a-year-to-remember-2024-2025/,other
https://nwsa.mdc.edu/about/tours/,about
https://nwsa.mdc.edu/about/events/,events
https://nwsa.mdc.edu/about/news/,news
https://nwsa.mdc.edu/about/directory/,faculty_staff
https://nwsa.mdc.edu/about/equal-opportunity-programs/,about
http://www.mdc.edu,other
https://www.mdc.edu/learning-resources/research-tools-services/,other
https://www.mdc.edu/learning-resources/tutoring-labs-technology/,student_services
https://www.mdc.edu/learning-resources/faculty-resources/,faculty_staff
