url,category,confidence,reason
https://news.mdc.edu/wp-content/uploads/2022/04/jpmorgan-chase-ceo-says-racial-equity-in-tech-critical-for-miami.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/03/Fresh-from-Cuba-this-19-year-old-quickly-taps-into-MDC-courses-and-Miami-Hack-Week-and-is-now-a-developert.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/03/miami-and-mdc-team-up-to-create-the-tech-talent-of-the-future.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/03/freda-you-can-always-come-home-miami-dade-college-miami-film-festival-1.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/03/MDC-Foundation-chair-to-receive-AACC-Outstanding-Alumni-Award.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/03/miami-film-festival-returns-this-week-1.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/02/MDC-wants-all-students-to-take-tech-classes.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/02/MDC-getting-15-million-to-prepare-next-generation-for-tech-jobs.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/02/MDC-to-expand-emerging-tech-programs-with-new-15M-investment.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/02/3thingstoknowaboutMiami.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/02/tech-focused-high-school-coming-to-miami.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/02/MDC-Homestead-opens-nursing-simulation-center_South-Dade-Newsletter-1.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/02/Florida-to-invest-89-million-in-workforce-training-for-state-colleges.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/01/miami-tech-and-startup-news.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/01/scenes-from-miami-hack-week-refreshmiami.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/01/what-is-the-attraction-to-web3.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/01/hilario-candela-enerable-architect-of-iconic-miami-marine-stadium.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/one-company-big-push-on-cloud-training-1.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/01/virtual-and-live.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/01/Harnessing-a-smart-revolution.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2021/12/its-our-day-its-not-my-day.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2021/12/miami-herald-shes-mdc.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/a-year-after-Miami-tech-boom-started.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2021/12/diverse-2021-seal-of-excelencia.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/a-community-champion.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/carrie-meek-dies-at-95.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Amid-protests-in-Cuba-DeSantis-announces-25-million-proposal-to-revamp-Freedom-Tower.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2021/11/Why-higher-education-must-evolve-to-help-fill-the-jobs-gap.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Hospitals-need-help.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/growing-STEM-workforce-hinges-on-diversity-in-education.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Jorge-Perez-foundation-gave-a-3.2-million-boost.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/ten-institutions-earn-seal-of-excelencia.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Tanya-Acevedo-new-MDC-VP-chief-information-officer.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Hispanic_Heritage_Month-Freedom_Tower_In_Downtown_Miami-1.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/College_workforce_training_in_tandem_with_Tesla.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC-awarded-NSF-grant-to-boost-women-in-tech.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/5-things-to-know-in-MiamiTech.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC-student-creates-short-animated-film-featuring-hearing-speech-impaired-lead.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/UWF-and-MDC-partnership-to-enhance-cybersecurity-workforce-development-1.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC-joins-Microsoft-AI-Business-School-to-develop-AI-courses.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC-students-flock-back-in-greater-numbers.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Tech-Trail-MDC-Innovation-chief-touts-inclusive-tech-for-everyone.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/7-Miami-leaders.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Reef-one-billion-ghost-kitchen-startup-plans-to-hire-1000-in-Miami.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC-joins-ALRISE-alliance-to-increase-Hispanic-representation-in-STEM-ed.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC-Homestead-Campus-Readies-for-Fall.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/President-Madeline-Pumariega-Comes-Home-1.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/5_things_to_know_in_Miami_Tech.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC-and-APUS-partner-to-expand-access-by-underserved-students.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Pumariega-Herald-Op-Ed.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC-extends-proud-MLB-tradition-with-26th-player-drafted-in-last-10-years.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Personalized-tech-teaching-called-education-future-MiamiToday.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC-cuts-pandemic-enrollment-drop-in-half.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Want-to-take-a-class-with-SoftBanks-top-executives-Check-out-this-course.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Bean-Automotive-Group-Welcomes-The-MDC.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/SoftBank-Miami-Dade-sponsor-data-science-trainees-_-Miami-Herald.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC-to-join-Childrens-Trust-and-the-underlined.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Miami-Dade-honors-130-Black-youths-in-new-scholarship-program-_-Miami-Herald.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC_inducts_10_to_Alumni_Hall_of_Fame_in_2021_Heroes_Edition-_-Miami-Herald.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/better_align_workforce_programming_with_partnerships.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Florida-Insurers-Cancel-Policies-COVID.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MiamiDadeCollegecanstandattheforefrontofeducationalinnovation.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/fermin_vazquez_newinterim_president_at_MDC_north_campus.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC_announces_2021_summer_camps.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC_baseball_team_crowned-state-champs.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/black-students-are-dropping-out-of-MDC-at-alarming-rate.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC-PA-students-recently-won-the-coveted-FL-academy-of-physician-assistantschallenge-bowl.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC_SAS_Ranked_fifth_best_high_school_in_nation_top_high_school_in_FL.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/How_colleges-can_best_use_government_funding_from_the_American_Rescue_Plan.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC_commencement_spring_2021_graduates_May1.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/local_family-has_goal_to-deliver_15_million_masks_beginning_with_MDC.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/IBM_donates_10-million_to_Miami_Dade_College_in_tech_skills.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC_and_IBM_team_up_to_prepare_students_for_tech_jobs.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/IBM_will_spend_10M_train_MDC_students_for_jobs_of_the_future.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/using_short-term_improvement_cycles_to_accelerate_progress_on_transfer.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/What_If_Students_Didnt_Have_to_Leave_Community_Colleges_to_Earn_Bachelors_Degrees.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC_Partners_with_Correlation_one_and_softBank_to_meet_data_science_industry_needs.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/AACC-ACCT_seek_50B_for_upgrades_to_college_facilities.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC-SoftBank_team_up_to_offer_a_path_to_prosperity_in_data_science.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC_Lady_Sharks_volleyball_team_wins_state_championship_again.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Miami_Dade_College_once_again_is_designated_Voter_Friendly_Campus.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC-North-launches-Education-Program-at-Everglades-Correctional.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC-earns-Sen-Paul-Simon-Spotlight-Award-for-Campus-Internationalization.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Miami-Dade_College_launches_new-scholars_program_for_students_of_color-1.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Enrollment-declines-at-Miami-Dade-College-Broward-College-Palm-Beach-State-College-South-Florida-Business-Journal.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/new_MDC_leadership_focusing_on_equity.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/5-things-to-know-in-MiamiTech_-NSU-Levan-Centers-new-space-mission-Clerisys-launch-more-Refresh-Miami.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC-student-recognized-for-his-civic-work-in-community-_-Miami-Herald.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Miami_Book_Fair_announces_first_recipients-_of_Emerging_Writer_Fellowships_program.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/WomenHistoryMonth_MiamiCommunityNews.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Miami-Dade-College-Offering-Free-Online-Programs-for-Students-Interested-in-IT-_-EdTech-Magazine.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Womens-History-Month-Spotlight_-Miami-Dade-College-President-Madeline-Pumariega-Shattered-Glass-Ceiling-1.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MiamiDadeCollegeenrollmentbouncingbackMiamiToday.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/762606695_MDCsTheReporter.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/CovidVaccinationSitetoOpenatMiami-DadeCollegeNBC6SouthFlorida.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MiamiDadeCollegegettingfederalCOVID-19vaccinationsiteMiamiHerald.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDCstudentnewspaperTheReporternamedbestinstateMiamiHerald.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Grant-TD-Charitable-Foundation-to-support-Scale-Up-Miami-program.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Miami-Film-Festival-announces-2021-lineup.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/College-baseball-preview-MDC-Anthony-Figueroa-key-to-success.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/2021-Miami-Film-Fest-Announces-International-Feature-Film-Shortlist.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/a-simpler-FAFSA-could-increase-applicants.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MiamiTodayAchieverMP2021.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/more-than-15000-MDC-students-earn-degrees-during-2019-20-academic-year.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Bernie-Navarro-Finds-Success-in-Bringing-People-Together-Hispanic-Executive.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/MDC-Graduate-Aspires-and-Inspires-_-News-_-southdadenewsleader.com_.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2016/02/Miami-Dade-Colleges-new-president-to-focus-on-enrollment-and-collaboration.pdf,News & Press,1.00,host:news
